Fuel_Type,Body_Type,Transmission,KM_Driven,Model_Year,Price,Engine,Brand,Model,Registration_Year,City
Petrol,Hatchback,Manual,20941,2019,6.19,1197.0,Hyundai,Hyundai Grand i10,2019,bangalore
Diesel,SUV,Manual,50000,2018,10.0,1248.0,Maruti,Maruti Vitara Brezza,2018,bangalore
Petrol,SUV,Manual,46602,2018,8.65,1199.0,Honda,Honda WR-V,2018,bangalore
Diesel,SUV,Automatic,50000,2014,10.0,2696.0,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2014,bangalore
Diesel,Hatchback,Manual,104000,2014,5.35,1248.0,Maruti,Maruti Swift,2014,bangalore
Diesel,SUV,Manual,90000,2018,9.75,1498.0,Ford,Ford Ecosport,2018,bangalore
Petrol,Hatchback,Manual,50035,2017,6.99,1197.0,Maruti,Maruti Baleno,2017,bangalore
Petrol,SUV,Manual,80000,2021,11.5,1199.0,Tata,Tata Nexon,2021,bangalore
Petrol,Hatchback,Manual,90000,2015,6.25,1197.0,Hyundai,Hyundai i20,2015,bangalore
Diesel,Sedan,Automatic,90000,2011,10.0,2143.0,Mercedes-Benz,Mercedes-Benz E-Class,2011,bangalore
Diesel,Sedan,Manual,120000,2011,6.0,1364.0,Toyota,Toyota Corolla Altis,2011,bangalore
Petrol,Sedan,Manual,25170,2015,6.75,1197.0,Maruti,Maruti Swift Dzire,2015,bangalore
Petrol,Sedan,Manual,25022,2021,8.93,1462.0,Maruti,Maruti Ciaz,2021,bangalore
Diesel,Hatchback,Manual,100000,2012,4.2,1248.0,Maruti,Maruti Swift,2012,bangalore
Petrol,Sedan,Manual,26367,2020,9.41,1462.0,Maruti,Maruti Ciaz,2020,bangalore
Petrol,Sedan,Automatic,76567,2015,6.3,1797.0,Hyundai,Hyundai Elantra,2015,bangalore
Diesel,MUV,Manual,120000,2013,12.75,2494.0,Toyota,Toyota Innova,2013,bangalore
Petrol,Hatchback,Automatic,36459,2015,5.25,1197.0,Hyundai,Hyundai Grand i10,2015,bangalore
Diesel,SUV,Manual,93725,2016,7.5,1248.0,Maruti,Maruti SX4 S Cross,2016,bangalore
Petrol,Sedan,Automatic,115599,2016,6.32,1373.0,Maruti,Maruti Ciaz,2016,bangalore
Petrol,Sedan,Manual,43469,2015,6.45,1197.0,Maruti,Maruti Swift Dzire,2016,bangalore
Petrol,Sedan,Manual,70000,2005,5.0,1299.0,Ford,Ford Ikon,2005,bangalore
Diesel,SUV,Automatic,77000,2019,67.95,2993.0,BMW,BMW X5,2019,bangalore
Diesel,SUV,Manual,100000,2018,8.5,1248.0,Maruti,Maruti Vitara Brezza,2018,bangalore
Petrol,Sedan,Manual,72000,2008,2.99,1999.0,Mitsubishi,Mitsubishi Cedia,2008,bangalore
Diesel,Sedan,Automatic,77000,2013,20.95,2179.0,Jaguar,Jaguar XF,2013,bangalore
Diesel,SUV,Automatic,87101,2013,28.0,2967.0,Audi,Audi Q7,2013,bangalore
Petrol,Hatchback,Manual,40771,2021,9.99,999.0,Volkswagen,Volkswagen Polo,2021,bangalore
Petrol,Hatchback,Manual,28000,2018,8.25,1199.0,Honda,Honda Jazz,2018,bangalore
Petrol,Hatchback,Manual,40000,2008,2.5,1061.0,Maruti,Maruti Wagon R,2008,bangalore
Petrol,SUV,Automatic,26000,2020,12.95,998.0,Hyundai,Hyundai Venue,2020,bangalore
Petrol,Hatchback,Manual,76032,2012,3.29,998.0,Maruti,Maruti Wagon R,2012,bangalore
Petrol,Sedan,Manual,113780,2018,6.66,1462.0,Maruti,Maruti Ciaz,2018,bangalore
Diesel,Sedan,Automatic,24000,2019,22.9,1968.0,Audi,Audi A3,2020,bangalore
Diesel,SUV,Manual,65812,2020,10.26,1493.0,Hyundai,Hyundai Venue,2020,bangalore
Petrol,SUV,Automatic,10000,2022,17.0,999.0,Skoda,Skoda Kushaq,2022,bangalore
Petrol,Hatchback,Manual,39959,2016,6.81,1197.0,Maruti,Maruti Baleno,2016,bangalore
Petrol,SUV,Automatic,10000,2022,16.9,1999.0,Hyundai,Hyundai Alcazar,2022,bangalore
Petrol,Hatchback,Manual,65484,2016,3.18,998.0,Maruti,Maruti Alto K10,2017,bangalore
Petrol,Hatchback,Manual,49174,2017,6.88,1197.0,Maruti,Maruti Baleno,2017,bangalore
Petrol,SUV,Manual,20000,2022,13.0,999.0,Volkswagen,Volkswagen Taigun,2022,bangalore
Petrol,Hatchback,Manual,50000,2009,2.65,1197.0,Hyundai,Hyundai i10,2009,bangalore
Petrol,Sedan,Automatic,40000,2018,6.45,1197.0,Maruti,Maruti Swift Dzire,2018,bangalore
Petrol,SUV,Automatic,30000,2022,20.0,1999.0,Hyundai,Hyundai Alcazar,2022,bangalore
Petrol,Coupe,Automatic,50000,2007,9.0,2497.0,BMW,BMW 3 Series,2007,bangalore
Petrol,Hatchback,Manual,80000,2020,6.2,1197.0,Maruti,Maruti Swift,2020,bangalore
Petrol,SUV,Manual,20000,2022,14.7,1498.0,MG,MG Astor,2022,bangalore
Cng,Sedan,Manual,70000,2010,2.2,1495.0,Hyundai,Hyundai Accent,2010,bangalore
Diesel,Sedan,Automatic,90000,2014,14.75,1968.0,Audi,Audi A4,2014,bangalore
Petrol,Hatchback,Manual,40000,2020,4.15,999.0,Renault,Renault KWID,2020,bangalore
Petrol,Hatchback,Manual,63797,2016,6.1,1199.0,Honda,Honda Jazz,2016,bangalore
Petrol,Hatchback,Manual,60216,2018,5.6,1197.0,Hyundai,Hyundai Grand i10,2018,bangalore
Petrol,Hatchback,Automatic,10000,2015,4.25,998.0,Maruti,Maruti Alto K10,2015,bangalore
Petrol,Hatchback,Manual,38153,2016,6.86,1197.0,Maruti,Maruti Baleno,2016,bangalore
Petrol,Hatchback,Manual,76485,2015,5.17,1197.0,Maruti,Maruti Swift,2015,bangalore
Petrol,Hatchback,Manual,40000,2015,3.85,998.0,Maruti,Maruti Wagon R,2015,bangalore
Petrol,Hatchback,Manual,40623,2016,6.75,1197.0,Maruti,Maruti Baleno,2016,bangalore
Diesel,Sedan,Automatic,18000,2018,33.0,2143.0,Mercedes-Benz,Mercedes-Benz C-Class,2018,bangalore
Petrol,Hatchback,Manual,88051,2014,4.99,1197.0,Maruti,Maruti Swift,2014,bangalore
Petrol,Hatchback,Manual,16522,2022,7.74,1197.0,Maruti,Maruti Swift,2022,bangalore
Diesel,SUV,Manual,70000,2019,14.75,1956.0,Jeep,Jeep Compass,2019,bangalore
Petrol,Hatchback,Manual,80000,2008,2.4,1061.0,Maruti,Maruti Wagon R,2008,bangalore
Diesel,SUV,Manual,50000,2019,10.25,1396.0,Hyundai,Hyundai Venue,2019,bangalore
Petrol,SUV,Manual,10000,2023,14.0,1199.0,Tata,Tata Nexon,2023,bangalore
Petrol,Hatchback,Manual,57000,2013,2.85,814.0,Hyundai,Hyundai EON,2013,bangalore
